,url,price,locali,superficie,bagni,piano
9306,https://www.immobiliare.it/66558495-Vendita-Quadrilocale-via-Emilio-Colombo-Roma.html,339000,4,150.0,2.0,0.0
9307,https://www.immobiliare.it/65915789-Vendita-Trilocale-via-Tarquinio-Collatino-16-Roma.html,260000,3,93.0,1.0,6.0
9308,https://www.immobiliare.it/70084166-Vendita-Quadrilocale-via-dello-Statuto-Roma.html,419000,4,100.0,3.0,1.0
9309,https://www.immobiliare.it/68841055-Vendita-Trilocale-via-Filippo-Meda-Roma.html,260000,3,86.0,1.0,8.0
9310,https://www.immobiliare.it/61971162-Vendita-Bilocale-via-Alberto-Tallone-Roma.html,145000,2,45.0,1.0,3.0
9311,https://www.immobiliare.it/69619322-Vendita-Bilocale-via-Pisino-Roma.html,179000,2,60.0,1.0,2.0
9312,https://www.immobiliare.it/67621481-Vendita-Bilocale-via-Santa-gemma-Roma.html,115000,2,36.0,1.0,12.0
9313,https://www.immobiliare.it/70041826-Vendita-Monolocale-via-del-Grano-Roma.html,45000,1,31.0,1.0,5.0
9314,https://www.immobiliare.it/68815727-Vendita-Appartamento-via-Paolo-Segneri-Roma.html,890000,5,148.0,2.0,2.0
9315,https://www.immobiliare.it/67782787-Vendita-Trilocale-via-Giovanni-Casoni-166-Roma.html,130000,3,75.0,2.0,1.0
9316,https://www.immobiliare.it/64886446-Vendita-Attico-Mansarda-via-del-Passero-Solitario-16-Roma.html,135000,3,80.0,1.0,12.0
9317,https://www.immobiliare.it/69809766-Vendita-Trilocale-via-degli-Orti-di-Malabarba-Roma.html,375000,3,155.0,1.0,0.0
9318,https://www.immobiliare.it/69152834-Vendita-Bilocale-via-del-Crocifisso-11-Roma.html,319000,2,68.0,1.0,2.0
9319,https://www.immobiliare.it/66543099-Vendita-Trilocale-via-Bellico-Calpurnio-Roma.html,235000,3,86.0,2.0,3.0
9320,https://www.immobiliare.it/69079124-Vendita-Trilocale-via-Augusto-Conti-Roma.html,210000,3,80.0,1.0,3.0
9321,https://www.immobiliare.it/68591569-Vendita-Quadrilocale-via-del-Tufo-Roma.html,310000,4,140.0,2.0,0.0
9322,https://www.immobiliare.it/66004803-Vendita-Bilocale-via-Gregorio-Ricci-Curbastro-Roma.html,340000,2,80.0,1.0,1.0
9323,https://www.immobiliare.it/54279212-Vendita-Trilocale-via-Cipro-Roma.html,465000,3,90.0,2.0,4.0
9324,https://www.immobiliare.it/69709186-Vendita-Bilocale-via-Ferdinando-Acton-Roma.html,155000,2,50.0,1.0,2.0
9325,https://www.immobiliare.it/67913417-Vendita-Trilocale-via-Raimondo-Montecuccoli-Roma.html,228000,3,95.0,1.0,1.0
9326,https://www.immobiliare.it/70222176-Vendita-Quadrilocale-piazza-in-Piscinula-49-Roma.html,1690000,4,220.0,3.0,3.0
9327,https://www.immobiliare.it/69372750-Vendita-Quadrilocale-viale-Gino-Cervi-Roma.html,229000,4,106.0,2.0,4.0
9328,https://www.immobiliare.it/69869798-Vendita-Quadrilocale-via-Alberto-Burri-Roma.html,320000,4,130.0,2.0,3.0
9330,https://www.immobiliare.it/69611630-Vendita-Trilocale-viale-GIUSTINIANO-IMPERATORE-Roma.html,269000,3,80.0,1.0,6.0
9331,https://www.immobiliare.it/68182059-Vendita-Trilocale-via-Pico-Della-Mirandola-Roma.html,299000,3,80.0,2.0,0.5
9332,https://www.immobiliare.it/66626695-Vendita-Trilocale-via-Angelo-Baldassarri-Roma.html,319000,3,80.0,1.0,12.0
9333,https://www.immobiliare.it/68826807-Vendita-Trilocale-via-della-riserva-del-Roma.html,239000,3,100.0,2.0,2.0
9334,https://www.immobiliare.it/67101295-Vendita-Trilocale-largo-dell-Olgiata-15-Roma.html,189000,3,80.0,2.0,1.0
9335,https://www.immobiliare.it/70249936-Vendita-Appartamento-via-Flaminia-Roma.html,780000,5,150.0,2.0,4.0
9336,https://www.immobiliare.it/63959692-Vendita-Bilocale-via-di-campo-romano-1-Roma.html,160000,2,50.0,1.0,0.0
9337,https://www.immobiliare.it/69309022-Vendita-Quadrilocale-via-dei-Fratelli-Laurana-Roma.html,715000,4,181.0,2.0,12.0
9338,https://www.immobiliare.it/66236767-Vendita-Trilocale-via-terranuova-bracciolini-22-Roma.html,189000,3,75.0,1.0,12.0
9339,https://www.immobiliare.it/59590554-Vendita-Quadrilocale-via-Monti-Tiburtini-489-Roma.html,407000,4,108.0,3.0,0.0
9340,https://www.immobiliare.it/68040555-Vendita-Bilocale-via-Lucio-Papirio-Roma.html,307000,2,87.0,1.0,1.0
9341,https://www.immobiliare.it/70075554-Vendita-Attico-Mansarda-via-Flaminia-Nuova-Roma.html,790000,5,184.0,3.0,12.0
9342,https://www.immobiliare.it/69270522-Vendita-Trilocale-via-antonio-galtarossa-1-Roma.html,110000,3,60.0,1.0,1.0
9343,https://www.immobiliare.it/70043454-Vendita-Trilocale-via-dell-Arcadia-0-Roma.html,244000,3,82.0,1.0,4.0
9344,https://www.immobiliare.it/69272978-Vendita-Appartamento-via-degli-Zingari-Roma.html,510000,5,142.0,2.0,2.0
9345,https://www.immobiliare.it/66256775-Vendita-Appartamento-via-Nicola-Marchese-Roma.html,520000,5,176.0,2.0,1.0
9346,https://www.immobiliare.it/70269528-Vendita-Quadrilocale-via-dei-Berio-Roma.html,339000,4,150.0,2.0,0.0
9347,https://www.immobiliare.it/66806117-Vendita-Quadrilocale-viale-degli-Eroi-di-Rodi-228-Roma.html,225000,4,139.0,2.0,6.0
9348,https://www.immobiliare.it/63902316-Vendita-Quadrilocale-via-Pietro-Mascagni-200-Roma.html,350000,4,130.0,2.0,0.0
9349,https://www.immobiliare.it/52764906-Vendita-Monolocale-via-dei-Bucaneve-12-Roma.html,70000,1,17.0,1.0,1.0
9350,https://www.immobiliare.it/66807891-Vendita-Trilocale-via-della-Badia-di-Cava-Roma.html,285000,3,100.0,1.0,7.0
9351,https://www.immobiliare.it/70373734-Vendita-Bilocale-via-Rodolfo-Verduzio-42-Roma.html,149000,2,65.0,1.0,3.0
9352,https://www.immobiliare.it/66110213-Vendita-Trilocale-via-costantiniana-49-Roma.html,190000,3,90.0,1.0,1.0
